Gene.Symbol,GSM775184,GSM775185,GSM775190,GSM775191,GSM775224,GSM775225,GSM775249,GSM775250,GSM775258,GSM775259,GSM775264,GSM775265,GSM775270,GSM775271,GSM775275,GSM775279,GSM775286,GSM775287
AARS2,9.067576875,8.793662804,8.48425819,6.193105624,9.276394536,8.492553034,9.319398231,7.713688942,9.598684169,9.368703536,9.429021483,9.41168999,9.339019546,9.540134046,8.172894496,9.722693135,9.577832688,9.122615262
AARSD1,9.673133963,10.78017884,8.555669317,9.151355792,9.028086184,9.678267022,9.392046248,10.30907043,9.438351285,9.371317522,6.961226255,9.749933937,9.444183556,9.614048335,9.811360885,9.552180112,9.129105503,9.236902025
AASDH,8.940333861,8.553424634,8.269006021,7.863644258,7.631732923,6.908953376,7.81127,7.591935928,8.235374288,8.07581819,6.732144356,8.007214567,8.339354325,7.771593789,8.111026616,7.687369384,8.201210399,7.462629052
AASDHPPT,6.69688131,6.122978907,6.945524602,5.950121463,6.199503726,6.389893205,6.280148654,6.383856329,6.52214334,6.122081275,6.063167684,6.225618516,6.877530774,6.314064755,6.165061141,6.143485666,6.848649228,6.630466048
AASS,6.389752127,6.259300361,6.567473956,6.769041746,6.317969866,6.466212228,6.459749141,6.928765885,6.658404305,6.879722918,6.562635486,6.272778315,6.64533996,6.532811126,7.139947272,6.903343219,6.826646358,6.851800253
AATF,8.765654082,9.645904984,8.050479386,8.530752386,9.085614,8.897033144,8.674361426,8.599157833,8.748178087,8.825901354,7.901068409,8.592870725,8.951758249,9.058415537,9.423546658,8.218166516,9.553492217,8.994003753
ABAT,8.297750848,7.149780647,7.487881023,7.684520015,8.383104197,8.317555067,7.192888512,6.904024,8.536295402,7.748469955,8.52277257,7.676976083,9.866035849,7.189343251,6.274467799,8.100702807,8.414748227,8.274060341
ABBA-1,6.196664677,6.186562557,6.161781491,6.102817466,6.281249239,6.041523581,6.060516097,5.888733509,6.146551366,6.074354506,5.992725158,6.174814256,6.14558494,6.14148143,6.21326134,6.094319901,5.966196952,6.165139951
ABC1,7.733042446,7.281721429,6.929439511,8.111449742,6.794517241,8.160601075,8.055345349,7.266933613,8.28520291,9.006556106,6.246073409,7.832170385,8.561676685,8.661010594,7.959116344,8.514575596,8.984915982,8.67631149
ABCA1,9.106746913,11.91805149,9.922957775,12.18099785,10.5564754,11.69767175,10.1803207,11.18386361,10.98277045,11.73567744,10.48033784,11.49508702,10.4931109,11.78387322,11.61854885,11.44546238,10.34902242,11.60921568
ABCA10,6.155768658,6.116368084,6.022153612,6.13106591,6.341800063,6.283823639,6.139277726,6.077829402,6.236756642,6.157444762,5.956081286,6.105136211,6.25031699,6.138420491,5.966990104,6.12676827,6.229591191,6.242636039
ABCA12,7.668675831,7.771593789,7.965507838,7.701979389,8.739407317,8.987755155,8.001842204,8.742765502,8.00260858,7.94506453,8.823854744,7.436564142,7.630679213,9.737936832,8.029821684,9.00753023,8.461341106,7.751332493
ABCA13,6.015493555,6.147218156,6.056969077,6.223227912,6.112528333,6.0873035,6.104744457,6.088602332,6.115413474,6.037840789,5.969815194,6.722690062,6.092241272,6.04349609,6.064038029,5.963034312,6.127727159,6.034646021
ABCA2,6.526122661,6.988100675,6.62952405,6.877957694,7.138791947,6.398035636,6.27685655,6.2599705,6.14323238,6.487365434,7.207467319,6.486756199,6.352920388,6.416811881,7.086765724,6.631338017,6.430133702,6.36428509
ABCA3,6.562151585,7.041725947,7.176178137,7.281371845,6.546514835,6.825381148,7.276852085,6.907837654,6.84595164,8.715459618,7.608137257,7.396621049,6.948703627,8.062749364,7.273367622,7.398800971,6.846780372,7.113651539
ABCA4,5.883853672,5.913758283,5.977281068,5.866843703,6.132990715,5.943731955,5.936181151,6.191034334,6.023717988,6.848649228,6.062571836,5.949358204,6.808168785,6.225002432,5.860116096,5.908175224,6.086998346,6.035180917
ABCA5,6.06639234,5.992797203,7.274815147,6.699557185,7.532059758,7.333068562,7.671717258,6.861088147,7.998484939,6.854999248,6.232924715,6.450158302,7.195784593,6.660643444,5.9936644,6.029222284,6.703568636,6.181610069
ABCA6,5.965647164,5.884518312,6.009014993,7.226717559,5.906386767,6.472029871,6.104820972,7.018074407,6.169623407,7.231501531,6.023318569,6.190217985,5.922793694,6.465923055,6.519236331,5.993007878,5.932857014,6.466107304
ABCA7,7.254370116,7.875308874,6.436033045,8.41371635,8.522307678,7.702309847,7.421312518,7.863314072,8.546040548,7.546374379,6.219455095,7.991629548,7.596609456,8.418243508,7.822452288,7.255575321,6.471458347,7.102541611
ABCA8,6.172089223,6.39586278,6.33526475,7.071789479,6.616821846,8.64746922,8.041457105,10.17007653,6.947569148,8.78993135,8.092902988,8.221804597,6.249726723,7.045732363,7.63478637,6.177154596,6.240580898,7.843639706
ABCA9,6.678386052,6.66029403,6.751274909,6.698760221,7.172322491,6.880566765,6.464483671,6.419012616,6.451167748,6.622946891,6.744387172,6.477364375,6.349251855,6.479198219,6.730743196,6.901155318,6.571252524,6.515321061
ABCB1,7.628640195,7.436890567,9.174099016,7.841224036,8.7973321,9.029691401,7.831825951,8.160601075,8.685661279,7.607419832,8.102415107,7.782883575,11.79839241,7.177042744,8.423523128,8.350395141,8.681038424,9.078079005
ABCB10,9.984384278,8.229702792,10.32454961,9.75841062,8.416042527,8.508897642,8.520424213,8.808001092,8.632161682,8.463616735,10.01122586,9.595135495,9.181871313,7.906932072,7.712345405,8.1883485,8.549157792,8.446417118
